longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,income_cat
-116.99,34.89,24.0,2741.0,577.0,15.51,522.0,3.4739999999999998,70500.0,INLAND,3.0
-118.02,33.95,36.0,1632.0,295.0,7.97,283.0,4.2292,179500.0,<1H OCEAN,3.0
-117.62,33.42,27.0,1444.0,412.0,5.97,311.0,3.1395,310000.0,NEAR OCEAN,3.0
-118.02,34.13,33.0,2874.0,458.0,12.39,431.0,5.2329,430900.0,INLAND,4.0
-117.4,33.9,32.0,1263.0,178.0,5.08,180.0,3.6667,314100.0,INLAND,3.0
-120.57,35.18,16.0,5209.0,917.0,22.84,809.0,4.0403,346100.0,<1H OCEAN,3.0
-118.48,33.96,16.0,895.0,181.0,2.37,149.0,12.0088,500001.0,<1H OCEAN,5.0
-117.88,34.11,18.0,2923.0,670.0,17.51,656.0,3.2383,157000.0,<1H OCEAN,3.0
-118.51,34.2,34.0,2871.0,581.0,13.5,535.0,3.7049,227500.0,<1H OCEAN,3.0
-117.66,34.07,36.0,2072.0,408.0,9.64,395.0,2.8702,137000.0,INLAND,2.0
-118.29,33.83,24.0,4092.0,893.0,28.19,893.0,4.1378,216500.0,<1H OCEAN,3.0
-118.17,34.68,13.0,5341.0,773.0,22.88,724.0,6.6772,185600.0,INLAND,5.0
-118.43,34.27,31.0,1130.0,276.0,15.33,269.0,4.2353,156800.0,<1H OCEAN,3.0
-121.41,38.61,36.0,3099.0,605.0,13.22,623.0,3.4784,105500.0,INLAND,3.0
-119.88,36.83,2.0,4055.0,735.0,17.3,654.0,4.2132,96500.0,INLAND,3.0
-121.04,38.81,11.0,3522.0,623.0,14.56,544.0,3.93,163400.0,INLAND,3.0
-122.33,37.94,43.0,1876.0,389.0,8.07,377.0,3.1571,141600.0,NEAR BAY,3.0
-121.19,38.67,16.0,1754.0,284.0,7.73,277.0,4.817,147000.0,INLAND,4.0
-118.41,33.89,34.0,2959.0,639.0,11.43,593.0,6.348,500001.0,<1H OCEAN,5.0
-117.99,33.93,33.0,2299.0,431.0,10.49,447.0,3.6458,208100.0,<1H OCEAN,3.0
-121.1,37.8,35.0,1853.0,331.0,9.58,340.0,3.3578,149000.0,INLAND,3.0
-121.34,38.66,16.0,3154.0,860.0,18.37,793.0,1.9805,92900.0,INLAND,2.0
-118.19,33.86,38.0,2009.0,524.0,14.49,451.0,2.7045,155400.0,<1H OCEAN,2.0
-117.9,36.95,19.0,99.0,26.0,0.51,22.0,1.7292,137500.0,INLAND,2.0
-118.88,34.28,22.0,3369.0,771.0,27.51,710.0,4.0474,182100.0,<1H OCEAN,3.0
-119.27,35.87,12.0,972.0,269.0,11.34,286.0,1.63,49500.0,INLAND,2.0
-117.9,34.12,33.0,1788.0,456.0,17.87,361.0,2.6629,124100.0,<1H OCEAN,2.0
-117.86,33.89,22.0,4386.0,593.0,19.15,592.0,6.6897,289800.0,<1H OCEAN,5.0
-117.67,33.46,24.0,3571.0,722.0,14.09,543.0,4.6518,277800.0,<1H OCEAN,4.0
-118.12,34.06,23.0,1190.0,347.0,9.65,327.0,2.2261,211800.0,<1H OCEAN,2.0
-118.91,34.4,30.0,2861.0,613.0,20.65,586.0,3.2024,176100.0,<1H OCEAN,3.0
-122.34,37.56,39.0,3562.0,391.0,11.39,391.0,12.6417,500001.0,NEAR OCEAN,5.0
-117.29,34.57,22.0,1054.0,239.0,4.28,239.0,1.2548,68300.0,INLAND,1.0
-118.32,34.04,44.0,1008.0,223.0,5.44,223.0,2.8654,176800.0,<1H OCEAN,2.0
-119.71,36.88,17.0,2236.0,315.0,9.92,312.0,6.9405,165200.0,INLAND,5.0
-118.12,34.71,46.0,40.0,10.0,0.14,7.0,1.125,225000.0,INLAND,1.0
-122.39,37.76,52.0,1877.0,427.0,7.12,398.0,3.9722,290900.0,NEAR BAY,3.0
-121.44,38.62,37.0,3009.0,733.0,15.13,588.0,1.4387,61000.0,INLAND,1.0
-117.91,33.64,37.0,1998.0,472.0,10.3,436.0,3.9306,268400.0,<1H OCEAN,3.0
-120.36,36.13,29.0,1938.0,434.0,13.06,415.0,3.0134,55500.0,INLAND,3.0
-117.89,34.12,35.0,1566.0,321.0,13.96,317.0,4.05,141300.0,<1H OCEAN,3.0
-121.67,36.58,11.0,5892.0,837.0,23.27,812.0,6.1551,291800.0,<1H OCEAN,5.0
-117.19,34.03,25.0,2513.0,340.0,9.0,320.0,6.4962,182400.0,INLAND,5.0
-119.88,34.43,16.0,1734.0,365.0,9.62,391.0,4.4777,282500.0,NEAR OCEAN,3.0
-117.92,33.65,15.0,1309.0,477.0,13.3,424.0,3.4417,182500.0,<1H OCEAN,3.0
-118.39,34.03,39.0,1366.0,375.0,12.37,370.0,3.7206,230900.0,<1H OCEAN,3.0
-121.83,37.29,20.0,2308.0,461.0,22.23,456.0,4.2589,191000.0,<1H OCEAN,3.0
-121.31,37.98,47.0,3386.0,663.0,12.28,619.0,3.0625,141500.0,INLAND,3.0
-118.31,34.05,35.0,2007.0,571.0,15.13,554.0,2.1162,229200.0,<1H OCEAN,2.0
-118.95,35.36,30.0,2294.0,508.0,17.53,482.0,2.1078,54700.0,INLAND,2.0
-122.41,37.94,52.0,154.0,33.0,0.89,38.0,3.2875,275000.0,NEAR BAY,3.0
-118.07,34.01,36.0,1391.0,283.0,10.25,275.0,3.2375,176800.0,<1H OCEAN,3.0
-117.19,34.03,36.0,2223.0,361.0,9.42,331.0,4.6806,152400.0,INLAND,4.0
-118.19,33.91,43.0,1531.0,357.0,15.09,376.0,2.6354,128100.0,<1H OCEAN,2.0
-121.42,38.5,24.0,7740.0,1539.0,43.33,1397.0,3.025,87900.0,INLAND,3.0
-117.93,33.74,15.0,1206.0,282.0,6.77,270.0,3.9219,142600.0,<1H OCEAN,3.0
-121.43,38.53,36.0,2430.0,426.0,11.99,437.0,3.1667,81900.0,INLAND,3.0
-121.87,38.0,17.0,2713.0,442.0,14.75,415.0,4.8542,144100.0,INLAND,4.0
-117.09,32.65,25.0,3509.0,985.0,23.59,899.0,2.6296,150000.0,NEAR OCEAN,2.0
-121.53,39.49,19.0,1537.0,329.0,6.17,274.0,1.5313,50300.0,INLAND,2.0
-118.37,33.88,26.0,2620.0,530.0,12.82,525.0,4.4828,340700.0,<1H OCEAN,3.0
-120.66,40.42,35.0,1450.0,325.0,7.17,297.0,2.5074,66400.0,INLAND,2.0
-122.4,38.41,20.0,4867.0,1015.0,17.25,1015.0,2.5685,267600.0,INLAND,2.0
-117.64,33.87,2.0,17470.0,2727.0,59.64,1985.0,6.2308,257900.0,<1H OCEAN,5.0
-118.17,33.79,30.0,1349.0,519.0,26.46,552.0,1.9318,115900.0,NEAR OCEAN,2.0
-118.19,34.14,38.0,1826.0,300.0,7.93,297.0,5.2962,291500.0,<1H OCEAN,4.0
-121.61,39.52,24.0,1610.0,324.0,9.09,323.0,1.8661,59800.0,INLAND,2.0
-122.27,37.82,40.0,946.0,375.0,7.0,352.0,1.775,112500.0,NEAR BAY,2.0
-121.24,39.65,35.0,632.0,148.0,2.21,102.0,2.3684,62500.0,INLAND,2.0
-115.51,32.68,11.0,2872.0,610.0,26.44,581.0,2.625,72700.0,INLAND,2.0
-118.11,34.17,50.0,3374.0,598.0,14.84,569.0,4.99,261600.0,INLAND,4.0
-118.4,34.02,27.0,515.0,201.0,3.97,228.0,2.4135,184400.0,<1H OCEAN,2.0
-117.95,33.94,28.0,2851.0,496.0,12.87,496.0,5.0782,264100.0,<1H OCEAN,4.0
-122.25,37.85,52.0,919.0,213.0,4.13,193.0,4.0368,269700.0,NEAR BAY,3.0
-122.18,39.7,23.0,1658.0,307.0,8.36,297.0,3.35,85400.0,INLAND,3.0
-117.15,34.03,32.0,2832.0,393.0,10.33,385.0,6.5648,237200.0,INLAND,5.0
-121.9,37.45,18.0,4900.0,814.0,29.84,758.0,6.6176,276200.0,<1H OCEAN,5.0
-117.74,34.04,27.0,2215.0,440.0,19.87,449.0,3.0429,129600.0,INLAND,3.0
-121.46,39.54,14.0,5549.0,1000.0,18.22,919.0,2.9562,142300.0,INLAND,2.0
